county,fips,date_local,pm2.5_avg
Atascosa,48013,2020-09-28,4.75
Atascosa,48013,2020-09-29,2.2916666666666665
Atascosa,48013,2020-09-30,2.375
Atascosa,48013,2020-10-01,5.454545454545454
Atascosa,48013,2020-10-02,7.791666666666667
Atascosa,48013,2020-10-03,6.833333333333333
Atascosa,48013,2020-10-04,6.333333333333333
Atascosa,48013,2020-10-05,9.958333333333334
Atascosa,48013,2020-10-06,10.791666666666666
Atascosa,48013,2020-10-07,13.375
Atascosa,48013,2020-10-08,11.041666666666666
Atascosa,48013,2020-10-09,8.208333333333334
Atascosa,48013,2020-10-10,8.166666666666666
Atascosa,48013,2020-10-11,9.333333333333334
Atascosa,48013,2020-10-12,13.666666666666666
Atascosa,48013,2020-10-13,12.041666666666666
Atascosa,48013,2020-10-14,10.708333333333334
Atascosa,48013,2020-10-15,8.625
Atascosa,48013,2020-10-16,5.333333333333333
Atascosa,48013,2020-10-17,10.958333333333334
Atascosa,48013,2020-10-18,8.708333333333334
Atascosa,48013,2020-10-19,5.916666666666667
Atascosa,48013,2020-10-20,6.916666666666667
Atascosa,48013,2020-10-21,5.25
Atascosa,48013,2020-10-22,6
Atascosa,48013,2020-10-23,4.869565217391305
Atascosa,48013,2020-10-24,3.2083333333333335
Atascosa,48013,2020-10-25,5.958333333333333
Atascosa,48013,2020-10-26,5.521739130434782
Atascosa,48013,2020-10-27,2.125
Atascosa,48013,2020-10-28,2.2916666666666665
Atascosa,48013,2020-10-29,1.9166666666666667
Atascosa,48013,2020-10-30,3.125
Atascosa,48013,2020-10-31,6.541666666666667
Atascosa,48013,2020-11-01,7.875
Atascosa,48013,2020-11-02,3.4166666666666665
Atascosa,48013,2020-11-03,6.541666666666667
Atascosa,48013,2020-11-04,6.625
Atascosa,48013,2020-11-05,5.35
Atascosa,48013,2020-11-06,4.458333333333333
Atascosa,48013,2020-11-07,7.916666666666667
Atascosa,48013,2020-11-08,5.333333333333333
Atascosa,48013,2020-11-09,4
Atascosa,48013,2020-11-10,4.208333333333333
Atascosa,48013,2020-11-11,5.333333333333333
Atascosa,48013,2020-11-12,6.708333333333333
Atascosa,48013,2020-11-13,7.666666666666667
Atascosa,48013,2020-11-14,6.666666666666667
Atascosa,48013,2020-11-15,5.291666666666667
Atascosa,48013,2020-11-16,4.166666666666667
Atascosa,48013,2020-11-17,5.363636363636363
Atascosa,48013,2020-11-18,8.25
Atascosa,48013,2020-11-19,6.625
Atascosa,48013,2020-11-20,5.583333333333333
Atascosa,48013,2020-11-21,4.916666666666667
Atascosa,48013,2020-11-22,4.208333333333333
Atascosa,48013,2020-11-23,7.5
Atascosa,48013,2020-11-24,5.333333333333333
Atascosa,48013,2020-11-25,3.25
Atascosa,48013,2020-11-26,8.5
Atascosa,48013,2020-11-27,10.125
Atascosa,48013,2020-11-28,2.5416666666666665
Atascosa,48013,2020-11-29,2.9583333333333335
Atascosa,48013,2020-11-30,2.0416666666666665
Atascosa,48013,2020-12-01,4.25
Atascosa,48013,2020-12-02,4.375
Atascosa,48013,2020-12-03,3.7083333333333335
Atascosa,48013,2020-12-04,6.5
Atascosa,48013,2020-12-05,12.958333333333334
Atascosa,48013,2020-12-06,6.083333333333333
Atascosa,48013,2020-12-07,3.7916666666666665
Atascosa,48013,2020-12-08,4.458333333333333
Atascosa,48013,2020-12-09,4.75
Atascosa,48013,2020-12-10,5.666666666666667
Atascosa,48013,2020-12-11,6.458333333333333
Atascosa,48013,2020-12-12,7.125
Atascosa,48013,2020-12-13,10.416666666666666
Atascosa,48013,2020-12-14,2.1666666666666665
Atascosa,48013,2020-12-15,8.708333333333334
Atascosa,48013,2020-12-16,2.375
Atascosa,48013,2020-12-17,6.625
Atascosa,48013,2020-12-18,5.083333333333333
Atascosa,48013,2020-12-19,5.083333333333333
Atascosa,48013,2020-12-20,6
Atascosa,48013,2020-12-21,6.666666666666667
Atascosa,48013,2020-12-22,5.666666666666667
Atascosa,48013,2020-12-23,5.857142857142857
Atascosa,48013,2020-12-24,4.041666666666667
Atascosa,48013,2020-12-25,6.208333333333333
