county,fips,date_local,ozone_avg
Bell,48027,2018-02-22,19
Bell,48027,2018-02-23,11
Bell,48027,2018-02-24,22
Bell,48027,2018-02-25,42
Bell,48027,2018-02-26,37
Bell,48027,2018-02-27,21
Bell,48027,2018-02-28,30
Bell,48027,2018-03-01,31
Bell,48027,2018-03-02,47
Bell,48027,2018-03-03,49
Bell,48027,2018-03-04,34
Bell,48027,2018-03-05,48
Bell,48027,2018-03-06,51
Bell,48027,2018-03-07,48
Bell,48027,2018-03-08,53
Bell,48027,2018-03-09,52
Bell,48027,2018-03-10,46
Bell,48027,2018-03-11,48
Bell,48027,2018-03-12,49
Bell,48027,2018-03-13,61
Bell,48027,2018-03-14,60
Bell,48027,2018-03-15,58
Bell,48027,2018-03-16,51
Bell,48027,2018-03-17,42
Bell,48027,2018-03-18,36
Bell,48027,2018-03-19,51
Bell,48027,2018-03-20,44
Bell,48027,2018-03-21,55
Bell,48027,2018-03-22,61
Bell,48027,2018-03-23,48
Bell,48027,2018-03-24,42
Bell,48027,2018-03-25,35
Bell,48027,2018-03-26,46
Bell,48027,2018-03-27,38
Bell,48027,2018-03-28,40
Bell,48027,2018-03-29,46
Bell,48027,2018-03-30,48
Bell,48027,2018-03-31,59
Bell,48027,2018-04-01,51
Bell,48027,2018-04-02,16
Bell,48027,2018-04-03,39
Bell,48027,2018-04-04,49
Bell,48027,2018-04-05,53
Bell,48027,2018-04-06,41
Bell,48027,2018-04-07,34
Bell,48027,2018-04-08,32
Bell,48027,2018-04-09,40
Bell,48027,2018-04-10,55
Bell,48027,2018-04-11,75
Bell,48027,2018-04-12,49
Bell,48027,2018-04-13,43
Bell,48027,2018-04-14,54
Bell,48027,2018-04-15,56
Bell,48027,2018-04-16,65
Bell,48027,2018-04-17,61
Bell,48027,2018-04-18,64
Bell,48027,2018-04-19,56
Bell,48027,2018-04-20,53
Bell,48027,2018-04-21,36
Bell,48027,2018-04-22,49
Bell,48027,2018-04-23,59
Bell,48027,2018-04-24,64
Bell,48027,2018-04-25,44
Bell,48027,2018-04-26,53
Bell,48027,2018-04-27,62
Bell,48027,2018-04-28,75
Bell,48027,2018-04-29,67
Bell,48027,2018-04-30,53
Bell,48027,2018-05-01,40
Bell,48027,2018-05-02,34
Bell,48027,2018-05-03,34
Bell,48027,2018-05-04,45
Bell,48027,2018-05-05,58
Bell,48027,2018-05-06,66
Bell,48027,2018-05-07,81
Bell,48027,2018-05-08,71
Bell,48027,2018-05-09,63
Bell,48027,2018-05-10,63
Bell,48027,2018-05-11,53
Bell,48027,2018-05-12,47
Bell,48027,2018-05-13,42
Bell,48027,2018-05-14,44
Bell,48027,2018-05-15,45
Bell,48027,2018-05-16,63
Bell,48027,2018-05-17,67
Bell,48027,2018-05-18,55
Bell,48027,2018-05-19,40
Bell,48027,2018-05-20,40
Bell,48027,2018-05-21,43
Bell,48027,2018-05-22,44
Bell,48027,2018-05-23,41
Bell,48027,2018-05-24,42
Bell,48027,2018-05-25,49
Bell,48027,2018-05-26,55
Bell,48027,2018-05-27,49
Bell,48027,2018-05-28,55
Bell,48027,2018-05-29,65
Bell,48027,2018-05-30,45
Bell,48027,2018-05-31,53
Bell,48027,2018-06-01,56
Bell,48027,2018-06-02,56
Bell,48027,2018-06-03,52
Bell,48027,2018-06-04,54
Bell,48027,2018-06-05,51
Bell,48027,2018-06-06,49
Bell,48027,2018-06-07,42
Bell,48027,2018-06-08,44
Bell,48027,2018-06-09,38
Bell,48027,2018-06-10,34
Bell,48027,2018-06-11,39
Bell,48027,2018-06-12,34
Bell,48027,2018-06-13,33
Bell,48027,2018-06-14,44
Bell,48027,2018-06-15,35
Bell,48027,2018-06-16,34
Bell,48027,2018-06-17,32
Bell,48027,2018-06-18,37
Bell,48027,2018-06-19,26
Bell,48027,2018-06-20,31
Bell,48027,2018-06-21,47
Bell,48027,2018-06-22,48
Bell,48027,2018-06-23,38
Bell,48027,2018-06-24,34
Bell,48027,2018-06-25,31
Bell,48027,2018-06-26,32
Bell,48027,2018-06-27,38
Bell,48027,2018-06-28,38
Bell,48027,2018-06-29,38
Bell,48027,2018-06-30,32
Bell,48027,2018-07-01,34
Bell,48027,2018-07-02,39
Bell,48027,2018-07-03,46
Bell,48027,2018-07-04,35
Bell,48027,2018-07-05,42
Bell,48027,2018-07-06,48
Bell,48027,2018-07-07,47
Bell,48027,2018-07-08,51
Bell,48027,2018-07-09,29
Bell,48027,2018-07-10,39
Bell,48027,2018-07-11,43
Bell,48027,2018-07-12,44
Bell,48027,2018-07-13,40
Bell,48027,2018-07-14,39
Bell,48027,2018-07-15,36
Bell,48027,2018-07-16,41
Bell,48027,2018-07-17,40
Bell,48027,2018-07-18,49
Bell,48027,2018-07-19,53
Bell,48027,2018-07-20,52
Bell,48027,2018-07-21,52
Bell,48027,2018-07-22,52
Bell,48027,2018-07-23,64
Bell,48027,2018-07-24,64
Bell,48027,2018-07-25,66
Bell,48027,2018-07-26,63
Bell,48027,2018-07-27,65
Bell,48027,2018-07-28,57
Bell,48027,2018-07-29,54
Bell,48027,2018-07-30,61
Bell,48027,2018-07-31,69
Bell,48027,2018-08-01,68
Bell,48027,2018-08-02,75
Bell,48027,2018-08-03,72
Bell,48027,2018-08-04,43
Bell,48027,2018-08-05,33
Bell,48027,2018-08-06,38
Bell,48027,2018-08-07,37
Bell,48027,2018-08-08,41
Bell,48027,2018-08-09,43
Bell,48027,2018-08-10,49
Bell,48027,2018-08-11,35
Bell,48027,2018-08-12,29
Bell,48027,2018-08-13,35
Bell,48027,2018-08-14,37
Bell,48027,2018-08-15,46
Bell,48027,2018-08-16,46
Bell,48027,2018-08-17,42
Bell,48027,2018-08-18,39
Bell,48027,2018-08-19,38
Bell,48027,2018-08-20,40
Bell,48027,2018-08-21,61
Bell,48027,2018-08-22,53
Bell,48027,2018-08-23,64
Bell,48027,2018-08-24,53
Bell,48027,2018-08-25,46
Bell,48027,2018-08-26,46
Bell,48027,2018-08-27,42
Bell,48027,2018-08-28,41
Bell,48027,2018-08-29,38
Bell,48027,2018-08-30,44
